age,unit,sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
Y15-74,PC_ACT,T,AT	4.1 	5.3 	4.8 	4.6 	4.9 	5.4 	5.6 	5.7 	6.0 	5.5 	4.9 	4.5 
Y15-74,PC_ACT,T,BE	7.0 	7.9 	8.3 	7.2 	7.6 	8.4 	8.5 	8.5 	7.8 	7.1 b	6.0 	5.4 
Y15-74,PC_ACT,T,BG	5.6 	6.8 	10.3 b	11.3 b	12.3 	13.0 	11.4 	9.2 	7.6 	6.2 	5.2 	4.2 
Y15-74,PC_ACT,T,CH	: 	: 	4.8 b	4.4 	4.5 	4.8 	4.9 	4.8 	5.0 	4.8 	4.7 	4.4 
Y15-74,PC_ACT,T,CY	3.7 	5.4 b	6.3 	7.9 	11.9 	15.9 	16.1 	15.0 	13.0 	11.1 	8.4 	7.1 
Y15-74,PC_ACT,T,CZ	4.4 	6.7 	7.3 	6.7 b	7.0 	7.0 	6.1 	5.1 	4.0 	2.9 	2.2 	2.0 
Y15-74,PC_ACT,T,DE	7.5 	7.8 	7.0 b	5.8 b	5.4 	5.2 	5.0 	4.6 	4.1 	3.8 	3.4 	3.2 
Y15-74,PC_ACT,T,DK	3.7 b	6.4 	7.7 	7.8 	7.8 	7.4 	6.9 	6.3 	6.0 b	5.8 b	5.1 	5.0 
Y15-74,PC_ACT,T,EA19	7.5 	9.6 	10.1 	10.2 	11.3 	12.0 	11.6 	10.8 	10.0 	9.0 	8.1 	7.5 
Y15-74,PC_ACT,T,EE	5.5 	13.5 	16.7 	12.3 	10.0 	8.6 	7.4 	6.2 	6.8 	5.8 	5.4 	4.4 
Y15-74,PC_ACT,T,EL	7.8 	9.6 b	12.7 	17.9 	24.5 	27.5 	26.5 	24.9 	23.6 	21.5 	19.3 	17.3 
Y15-74,PC_ACT,T,ES	11.3 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 	19.6 	17.2 	15.3 	14.1 
Y15-74,PC_ACT,T,EU27_2020	7.2 	9.1 	9.8 	9.9 	10.8 	11.4 	10.8 	10.0 	9.1 	8.1 	7.2 	6.7 
Y15-74,PC_ACT,T,EU28	7.0 	8.9 	9.6 	9.6 	10.5 	10.8 	10.2 	9.4 	8.5 	7.6 	6.8 	6.3 
Y15-74,PC_ACT,T,FI	6.4 	8.2 	8.4 	7.8 	7.7 	8.2 	8.7 	9.4 	8.8 	8.6 	7.4 	6.7 
Y15-74,PC_ACT,T,FR	7.4 e	9.1 e	9.3 e	9.2 e	9.8 e	10.3 e	10.3 	10.4 	10.0 	9.4 	9.0 	8.5 
Y15-74,PC_ACT,T,FX	7.1 	8.7 	8.9 	8.8 	9.4 	9.9 	9.9 	10.1 	9.8 	9.1 	8.7 	8.2 
Y15-74,PC_ACT,T,HR	8.6 	9.2 	11.7 	13.7 	16.0 	17.3 	17.3 	16.2 	13.1 	11.2 	8.5 	6.6 
Y15-74,PC_ACT,T,HU	7.8 	10.0 	11.2 	11.0 	11.0 	10.2 	7.7 	6.8 	5.1 	4.2 	3.7 	3.4 
Y15-74,PC_ACT,T,IE	6.8 	12.6 	14.6 	15.4 	15.5 	13.8 	11.9 	10.0 	8.4 	6.7 	5.8 	5.0 
Y15-74,PC_ACT,T,IS	2.9 	7.2 	7.6 	7.0 	6.0 	5.4 	4.9 	4.0 	3.0 	2.7 	2.7 	3.5 
Y15-74,PC_ACT,T,IT	6.7 	7.8 	8.4 	8.4 	10.7 	12.2 	12.7 	11.9 	11.7 	11.2 	10.6 	10.0 
Y15-74,PC_ACT,T,LT	5.8 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 	7.1 	6.2 	6.3 
Y15-74,PC_ACT,T,LU	5.1 	5.1 b	4.4 	4.9 	5.1 	5.9 	5.9 	6.7 b	6.3 	5.5 	5.6 	5.6 
Y15-74,PC_ACT,T,LV	7.7 	17.5 	19.5 	16.2 	15.0 	11.9 	10.8 	9.9 	9.6 	8.7 	7.4 	6.3 
Y15-74,PC_ACT,T,ME	: 	: 	: 	19.7 	20.0 	19.5 	18.0 	17.6 	17.8 	16.1 	15.2 	15.2 
Y15-74,PC_ACT,T,MK	33.8 	32.2 	32.0 	31.4 	31.0 	29.0 	28.0 	26.1 	23.7 	22.4 	20.8 	17.3 
Y15-74,PC_ACT,T,MT	6.0 	6.9 	6.9 	6.4 	6.2 	6.1 	5.7 	5.4 	4.7 	4.0 	3.7 	3.4 
Y15-74,PC_ACT,T,NL	3.7 	4.4 	5.0 	5.0 	5.8 	7.3 	7.4 	6.9 	6.0 	4.9 	3.8 	3.4 
Y15-74,PC_ACT,T,NO	2.5 	3.1 	3.5 	3.2 	3.1 	3.4 	3.5 	4.3 	4.7 	4.2 	3.8 	3.7 
Y15-74,PC_ACT,T,PL	7.1 	8.2 	9.7 b	9.7 	10.1 	10.3 	9.0 	7.5 	6.2 	4.9 	3.9 	3.3 
Y15-74,PC_ACT,T,PT	7.7 	9.6 	11.0 	12.9 b	15.8 	16.4 	14.1 	12.6 	11.2 	9.0 	7.1 	6.5 
Y15-74,PC_ACT,T,RO	5.8 	6.9 	7.0 b	7.2 	6.8 	7.1 	6.8 	6.8 	5.9 	4.9 	4.2 	3.9 
Y15-74,PC_ACT,T,RS	: 	: 	: 	: 	: 	: 	19.4 	17.8 	15.4 	13.6 	12.8 	10.5 
Y15-74,PC_ACT,T,SE	6.2 	8.4 	8.6 	7.8 	8.0 	8.1 	8.0 	7.4 	7.0 	6.7 	6.4 b	6.8 
